nome;rating;preco;pais;tipo;descricao;uvas;vinicola;olfativo;gustativo;harmonia;uva1;varietal;price;ano;consumo;texto
Champagne Montaudon Brut Magnum;4.0;R$737,90;França;Espumante;Brut;Pinot Noir (40.00%), Pinot Meunier (35.00%), Chardonnay (25.00%);Maison Montaudon;Frutas frescas, mel e torradas;Cremoso, volumoso, refrescante, seco e elegante;O Champagne vai bem com quase tudo, mas as melhores harmonizações são as ostras, o caviar, o salmão defumado e até mesmo frutas assadas com sorvete de creme formam o par perfeito.;Pinot Noir;N;737.9;0;0;'França' 'Espumante' 'Brut' 'Pinot Noir'
Champagne Montaudon 375ml;4.5;R$214,91;França;Espumante;Brut;Chardonnay, Pinot Noir, Pinot Meunier;Maison Montaudon;Frutas frescas, mel e torradas;Cremoso, volumoso, refrescante, seco e elegante;O Champagne vai bem com quase tudo, mas as melhores harmonizações são as ostras, o caviar, o salmão defumado, até mesmo frutas assadas com sorvete de creme formam o par perfeito.;Chardonnay;N;214.91;0;0;'França' 'Espumante' 'Brut' 'Chardonnay'
Espumante Salton Reserva Ouro;3.5;R$69,90;Brasil;Espumante;Brut;Chardonnay (60%), Pinot Noir (20%), Riesling (20%);Vinícola Salton;Abacaxi, baunilha, fermento, amêndoa e pão torrado.;Seco, refrescante, persistente e cremoso.;Onion rings, quibe cru, salada de macarrão, paella, arroz com frutos do mar, camarão na moranga.;Chardonnay;N;69.9;0;0;'Brasil' 'Espumante' 'Brut' 'Chardonnay'
Champagne Jacquart Rosé Brut;4.0;R$373,91;França;Espumante;Brut;Chardonnay, Pinot Meunier, Pinot Noir;Jacquart;Pêssego, damasco, com leves notas de pão integral;Elegante, cremoso, frutado e refrescante;Tartar de peixe com azeite trufado, camarões empanados, peixe branco grelhado com purê de mandioquinha, canapés, comida oriental, risoto de cogumelos.;Chardonnay;N;373.91;0;0;'França' 'Espumante' 'Brut' 'Chardonnay'
Champagne Jacquart Mosaïque Brut;4.5;R$258,90;França;Espumante;Brut;Chardonnay (40.00%), Pinot Noir (35.00%), Pinot Meunier (25.00%);Jacquart;Pera, pêssego e maçã, damasco, brioche;Intenso, fresco, cremoso, médio corpo, elegante;Carpaccio de salmão, camarão à provençal, lagosta grelhada na manteiga, vieiras gratinadas, risoto de frutos do mar, moqueca de badejo com camarões.;Chardonnay;N;258.9;0;0;'França' 'Espumante' 'Brut' 'Chardonnay'
Champagne Moët & Chandon Nectar Impérial;4.5;R$571,91;França;Espumante;Meio Seco/Demi-Sec;Pinot Noir (45.00%), Pinot Meunier (35.00%), Chardonnay (20.00%);Moët & Chandon;Frutas tropicais, tais como manga, abacaxi, ameixa e damasco, com leves notas de baunilha.;Elegante, frutado, muito cremoso e fresco.;Pratos da culinária chinesa, indiana e tailandesa, queijos azuis, peixes assados, canapés variados, entradas diversas e sobremesas.;Pinot Noir;N;571.91;0;0;'França' 'Espumante' 'Meio Seco/Demi-Sec' 'Pinot Noir'
Champagne Veuve Clicquot Rosé Brut com Cartucho;0.0;R$631,91;França;Espumante;Brut;Pinot Meunier, Chardonnay, Pinot Noir;Veuve Clicquot;Morango, framboesa, amora, frutas secas, brioche;Estruturado, cremoso, frutado, boa acidez, final persistente;Vieiras gratinadas, tartar de salmão, bruschetta caprese, camarão na moranga, ceviche, queijos e embutidos.;Pinot Meunier;N;631.91;0;0;'França' 'Espumante' 'Brut' 'Pinot Meunier'
Mini Champagne Moët & Chandon Brut Impérial 200 Ml;5.0;R$151,90;França;Espumante;Brut;Pinot Noir, Pinot Meunier, Chardonnay;Moët & Chandon;Nuances de pêssego, abacaxi e pera;Estruturado, com boa presença de frutas cítricas e final refrescante;Casquinha de siri, camarões grelhados, calderada de lagosta, tartar de salmão e queijo de cabra.;Pinot Noir;N;151.9;0;0;'França' 'Espumante' 'Brut' 'Pinot Noir'
Champagne Veuve Clicquot Demi-Sec;5.0;R$541,90;França;Espumante;Meio Seco/Demi-Sec;Pinot Noir, Pinot Meunier, Chardonnay;Veuve Clicquot;Frutas maduras, mel, pão torrado;Bom corpo, cremoso, acidez agradável, adocicado, boa persistência;Tapas espanholas, gastronomia tailandesa, gastronomia japonesa, bolo de frutas cítricas, salada de frutas, camarão com molho agridoce.;Pinot Noir;N;541.9;0;0;'França' 'Espumante' 'Meio Seco/Demi-Sec' 'Pinot Noir'
Espumante Chandon Excellence Cuvée Prestige Brut;4.0;R$119,90;Brasil;Espumante;Brut;Pinot Noir (65.00%), Chardonnay (35.00%);Chandon Brasil;Frutas brancas e cítricas maduras, notas de avelã, pão torrado e delicadas nuances de especiarias;Equilibrado, fresco, com boa estrutura e cremosidade. Final rico e persistente;Carpaccio, culinária japonesa, penne com camarão, risoto caprese, salmão grelhado, bruschetta.;Pinot Noir;N;119.9;0;0;'Brasil' 'Espumante' 'Brut' 'Pinot Noir'
Champagne Ruinart Rosé;0.0;R$848,90;França;Espumante;Brut;Pinot Noir (55%), Chardonnay (45%);Maison Ruinart;Lichia, goiaba, framboesa, cereja, morango, romã, brioche;Cremoso, boa acidez, saboroso, bom corpo;Sashimi de atum, lagosta gratinada, ostras frescas, pappardelle com frutos do mar, camarão VG empanado, polvo na manteiga.;Pinot Noir;N;848.9;0;0;'França' 'Espumante' 'Brut' 'Pinot Noir'
Champagne Krug Rosé Extra Brut.;5.0;R$3.465,90;França;Espumante;Extra Brut;Pinot Noir, Pinot Meunier, Chardonnay;Krug Bier;Maçã vermelha, framboesa fresca, cereja, brioche;Encorpado, cremoso, frutado, persistente;Aves grelhadas, risoto de trufas, carnes delicadas, carpaccio de polvo, caviar, ostras.;Pinot Noir;N;3465.9;0;0;'França' 'Espumante' 'Extra Brut' 'Pinot Noir'
Champagne Moët & Chandon Impérial Brut;5.0;R$421,91;França;Espumante;Brut;Chardonnay, Pinot Meunier, Pinot Noir;Moët & Chandon;Maçã verde, pêssego, pera, flores brancas, brioche, nozes, cítrico;Estruturado, boa presença, cremoso, boa acidez, notas de brioche;Vieiras empanadas, folhado de salmão, codorna recheada, moqueca capixaba, risoto de camarão, ostras frescas.;Chardonnay;N;421.91;0;0;'França' 'Espumante' 'Brut' 'Chardonnay'
Champagne Dom Pérignon Oenothèque 1975;0.0;R$10.472,90;Espumante;Assemblage;750 ml;Chardonnay;Dom Pérignon;Maçã desidratada, favo de mel, camomila.;Cremoso, sutil, muito macio e persistente.;Lagosta grelhada, camarões à provençal, frutos do mar com trufas brancas, vitela grelhada em molho de vinho branco levíssimo;Chardonnay;S;10472.9;1975;0;'Espumante' 'Assemblage' '750 ml' 'Chardonnay'
Champagne Moët & Chandon Impérial Rosé Brut;5.0;R$580,91;França;Espumante;Brut;Pinot Noir (50.00%), Pinot Meunier (30.00%), Chardonnay (20.00%);Moët & Chandon;Frutas vermelhas, floral, chá de hibisco, brioche;Elegante, encorpado, cremoso, final longo;Camarões grelhados, lagosta, carpaccio, tartar de carne vermelha, vitela empanada, risoto de frutos do mar.;Pinot Noir;N;580.91;0;0;'França' 'Espumante' 'Brut' 'Pinot Noir'
Champagne Ruinart Blanc de Blancs Brut;4.5;R$797,90;França;Espumante;Brut;Chardonnay (100%);Maison Ruinart;Pera madura, lichia, tostado, flores brancas, mineral;Equilibrado, bom corpo, acidez agradável, final persistente;Ostras, crustáceos, peixes grelhados, ceviches, carpaccio de polvo ou peixe branco, salada de lagosta.;Chardonnay;S;797.9;0;0;'França' 'Espumante' 'Brut' 'Chardonnay'
Pinhal Da Torre Special D.O.C. Tejo 2008;5.0;R$699,91;Portugal;Tinto;Seco;Touriga Nacional (45.00%), Syrah (35.00%), Tinta Roriz (20.00%);Pinhal da Torre;Tabaco, chocolate, couro, especiarias, frutas secas, baunilha;Maduro, elegante, boa acidez, taninos macios, final longo;Costeleta de cordeiro na brasa, lombo suíno, cogumelos recheados e gratinados, risoto de cogumelos, picanha invertida, tagliatelle ao molho quatro queijos.;Touriga Nacional;N;699.91;2008;0;'Portugal' 'Tinto' 'Seco' 'Touriga Nacional'
Champagne Montaudon Grande Rosé;4.5;R$279,91;França;Espumante;Seco;Chardonnay, Pinot Noir;Maison Montaudon;Complexo, maduro, com notas de evolução, toques florais, uma ponta de especiarias e pão torrado.;Elegante, cremoso e persistente.;Lagosta salteada na manteiga de alho e ervas, ostras gratinadas, salmão grelhado com legumes, espaghettini com frutos do mar, aves grelhadas, saladas com frutas grelhadas e queijo brie.;Chardonnay;N;279.91;0;0;'França' 'Espumante' 'Seco' 'Chardonnay'
Espumante Marquês de Marialva Reserva D.O.C. Bairrada Bical Arinto 2015;0.0;R$116,90;Portugal;Espumante;Brut;Arinto (50.00%), Bical (50.00%);Adega de Cantanhede;Frutas secas e crosta de pão;Cremoso, frutado, final longo;Peixes, carnes brancas, comida indiana, comida chinesa, sushi, saladas.;Arinto;N;116.9;2015;0;'Portugal' 'Espumante' 'Brut' 'Arinto'
Zweigelt Classic Red 2017;3.5;R$93,91;Áustria;Tinto;Meio Seco/Demi-Sec;Zweigelt;Weingut Wöber;Frutas silvestres, amora, groselha preta;Robusto, taninos aveludados;Carne vermelha, carré de cordeiro, filé ao molho de champignon, legumes grelhados.;Zweigelt;S;93.91;2017;0;'Áustria' 'Tinto' 'Meio Seco/Demi-Sec' 'Zweigelt'
Scandalo Monastrell 2018;3.5;R$101,91;Espanha;Tinto;Seco;Monastrell;Vinessens;Amora, framboesa e notas de balsâmico;Acidez equilibrada, taninos macios e suaves;Carré de cordeiro, costela ao molho barbecue, filé mignon grelhado com mix de legumes, caldo de mandioca com carne seca, cogumelo portobello recheado.;Monastrell;S;101.91;2018;0;'Espanha' 'Tinto' 'Seco' 'Monastrell'
Pájaro de Buen Agüero D.O.P. Cariñena G 2018;4.0;R$79,90;Espanha;Tinto;Seco;Garnacha;BVC Bodegas;Aromas de frutas vermelhas e especiarias, tomilho, páprica;Frutado, acidez equilibrada e final persistente;Fritatta de tender, pizza de pepperoni, lombo com molho agridoce, pato com molho de laranja, comida indiana, tacos mexicanos.;Garnacha;S;79.9;2018;0;'Espanha' 'Tinto' 'Seco' 'Garnacha'
Que Guapo Branco 2019.;4.0;R$44,91;Argentina;Branco;Seco;Chardonnay (50.00%), Viognier (35.00%), Torrontés (15.00%);Viña Las Perdices;Abacaxi, pêssego, pera, floral;Frutado, leve, acidez agradável;Canelone de ricota com espinafre, espetinho de camarão, peixe assado com legumes, legumes gratinados, frango recheado, lasanha de peito de peru.;Chardonnay;N;44.91;2019;0;'Argentina' 'Branco' 'Seco' 'Chardonnay'
Quinta de São João Cuvée RB Branco 2017;4.0;R$44,91;Portugal;Branco;Seco;Arinto, Fernão Pires;Pinhal da Torre;Frutas cítricas, flor de laranjeira, mentol;Cítrico, boa acidez, bom final;Peroá empanado com fritas, salada de lula, frango empanado com purê de batatas, saladas de folhas e frutas, massas ao molho branco, e queijos frescos.;Arinto;N;44.91;2017;0;'Portugal' 'Branco' 'Seco' 'Arinto'
Encostas de Estremoz Bis Branco 2018;0.0;R$47,91;Portugal;Branco;Seco;Síria, Arinto, Fernão Pires;Encostas de Estremoz;Manga, maracujá, abacaxi;Leve, boa acidez, frutado, fácil de beber;Peixe assado, bobó de camarão, espetinho de legumes, penne ao molho branco, saladas, wrap de queijo com orégano.;Síria;N;47.91;2018;0;'Portugal' 'Branco' 'Seco' 'Síria'
Cava Orlenne Brut;3.5;R$119,90;Espanha;Espumante;Brut;Macabeo, Parellada, Xarel-lo;Bodegas San Valero;Frutas cítricas, pêra, maçã e um toque de frutos secos;Equilibrado, fresco e boa acidez;Pavlova de frutas, steak tartare, frutos do mar, atum, frango com molho barbecue, costela de porco defumada, torta de limão.;Macabeo;N;119.9;0;0;'Espanha' 'Espumante' 'Brut' 'Macabeo'
Terrazas de Los Andes Reserva Syrah 2017;4.0;R$150,90;Argentina;Tinto;Seco;Syrah (100%);Terrazas de los Andes;Frutas vermelhas, frutas nengras, especiarias, amadeirado;Bom corpo, taninos presentes, fresco, frutado, amadeirado;Carne-seca com abóbora, risoto de linguiça fresca, pizza de calabresa ou pepperoni, penne ao sugo, lasanha de berinjela, arroz carreteiro.;Syrah;S;150.9;2017;0;'Argentina' 'Tinto' 'Seco' 'Syrah'
Protos Gran Reserva D.O. Ribera del Duero 2012;0.0;R$660,90;Espanha;Tinto;Seco;Tempranillo;Protos;Frutas maduras, frutas cristalizadas, especiarias, café, terroso, couro;Intenso, encorpado, taninos presentes, boa acidez, especiarias;Risoto de jamón e queijo manchego, prime-rib grelhado com polenta mole ao ragu de cogumelos, assado de cochinillo, nhoque ao ragu de rabada, picanha de cordeiro, queijos duros.;Tempranillo;S;660.9;2012;0;'Espanha' 'Tinto' 'Seco' 'Tempranillo'
Calyptra Assemblage Gran Reserva 2016;0.0;R$197,91;Chile;Tinto;Seco;Merlot (6%), Cabernet Sauvignon (50%), Syrah (44%);Calyptra;Framboesa, groselha, cereja negra, amora, especiarias, baunilha, tostado;Encorpado, taninos presentes, fresco, frutas em compota, final longo;Pernil laqueado com batatas ao murro, costeleta de cordeiro ao molho de ervas, bisteca bovina grelhada, ossobuco com polenta, risoto de cogumelos, e queijos duros.;Merlot;N;197.91;2016;0;'Chile' 'Tinto' 'Seco' 'Merlot'
Uncle Joseph Marsala Superiore Rubino Dolce Doc 2015;0.0;R$252,90;Itália;Licoroso;Suave/Doce;Nero d'Avola;Cantine Pellegrino;Frutado com notas de cerejas, romãs e ameixas;Doce, com toques evidentes de frutas vermelhas, cerejas e romãs;Chocolate amargo, pão com geleia de amora, brie com geleia de frutas vermelhas, queijos fortes.;Nero d'Avola;S;252.9;2015;0;"'Itália' 'Licoroso' 'Suave/Doce' ""Nero d'Avola"""
Old John Marsala Superiore Riserva Ambra Semisecco Doc 1998;0.0;R$320,90;Itália;Licoroso;Meio Seco/Demi-Sec;Inzolia, Catarratto, Grillo;Cantine Pellegrino;Agradáveis ??notas de damasco, delicados aromas de tomilho e pimenta preta;Encorpado, álcool presente, notas de damasco e frutas cristalizadas;Queijos como ricota, gorgonzola, parmesão, sobremesas como tiramisù, cheesecake.;Inzolia;N;320.9;1998;0;'Itália' 'Licoroso' 'Meio Seco/Demi-Sec' 'Inzolia'
Cantine Pellegrino D.O.P. Pantelleria Passito Liquoroso 2018 500 ml;4.0;R$110,91;Itália;Licoroso;Suave/Doce;Zibibbo;Cantine Pellegrino;Frutas cristalizadas, mel;Doce, boa acidez, médio corpo;Panetone, pudim de leite, pães com geleias, torta de maçã, queijos azuis como gorgonzola, torta de laranja com amêndoas.;Zibibbo;S;110.91;2018;0;'Itália' 'Licoroso' 'Suave/Doce' 'Zibibbo'
Bip Benjamin Marsala Superiore Riserva Oro Dolce Doc 2013;0.0;R$220,91;Itália;Licoroso;Suave/Doce;Catarratto, Inzolia, Grillo;Cantine Pellegrino;Notas de melão e mel;Doce e persistente, com notas evidentes de damascos e peras cozidas;Doces com ricota, pastelaria, queijos envelhecidos e picantes.;Catarratto;N;220.91;2013;0;'Itália' 'Licoroso' 'Suave/Doce' 'Catarratto'
Beni di Batasiolo Sabri D.O.C.G. Barbera d´Asti 2017;0.0;R$107,91;Itália;Tinto;Seco;Barbera;Beni di Batasiolo;Frutas vermelhas maduras, com notas de folhas secas, tosta e nuance de especiarias;Amadeirado, frutado, com presença de especiarias, bom corpo e taninos presentes;Lombo suíno assado, risoto de tomate seco e bacon, pizzas variadas, tagliatelle ao pomodoro, carpaccio de carne, bruschettas de queijo e tomate, filé-mignon com molho de frutas vermelhas.;Barbera;S;107.91;2017;0;'Itália' 'Tinto' 'Seco' 'Barbera'
Batasiolo Barolo Boscareto DOCG 2009;0.0;R$542,90;Itália;Tinto;Seco;Nebbiolo;Beni di Batasiolo;Notas predominantes de frutas e flores secas, temperos, especiarias doces, fumo, couro, tosta e nuances terrosos;Maduro, encorpado, possui boa acidez, taninos presentes e agradável persistência;Carré de cordeiro, T-Bone grelhado ao molho de aceto balsâmico, queijos de sabores intensos, rigatoni de boeuf bourguignon, paella com carne de caça, tarte de cogumelos e queijos.;Nebbiolo;S;542.9;2009;0;'Itália' 'Tinto' 'Seco' 'Nebbiolo'
Beni di Batasiolo Cerequio D.O.C.G Barolo 2009;0.0;R$542,90;Itália;Tinto;Seco;Nebbiolo;Beni di Batasiolo;Frutas em compota, notas balsâmicas, florais, tostadas, de tabaco e de torrefação;Opulento, equilibrado, com taninos maduros e excelente persistência;Queijos maturados, paleta de cordeiro ao molho de vinho, costela no bafo, ossobuco com polenta cremosa, cogumelos recheados, massa com ragu de carne.;Nebbiolo;S;542.9;2009;0;'Itália' 'Tinto' 'Seco' 'Nebbiolo'
Julian Reynolds Grande Reserva 2011;5.0;R$279,91;Portugal;Tinto;Seco;Cabernet Sauvignon (40%), Alicante Bouschet (40%), Syrah (20%);Wine.com.br;Frutas maduras, balsâmico, cacau, especiarias, chocolate, amadeirado;Complexo, potente, maduro, boa acidez, taninos presentes, elegante, final longo;Javali assado, lombo suíno ao molho de frutas vermelhas, risoto de alheira e cogumelos, cordeiro assado com cuscuz marroquino, espaguete ao molho de calabresa, queijos como aziago, pecorino e parmesão.;Cabernet Sauvignon;N;279.91;2011;0;'Portugal' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Carpineto Farnito I.G.T. Toscana Cabernet Sauvignon 2013;5.0;R$226,91;Itália;Tinto;Seco;Cabernet Sauvignon;Carpineto;Frutas vermelhas, frutas negras, especiarias, baunilha;Médio corpo, acidez agradável, taninos presentes, bom final;Carpaccio de rosbife, risoto de parmesão, bruschetta de tomate cereja e pecorino, espaguete ao molho de linguiça fresca, lasanha de cogumelos, queijos de média cura.;Cabernet Sauvignon;S;226.91;2013;0;'Itália' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Salton Virtude Chardonnay Branco 2017;0.0;R$91,90;Brasil;Branco;Seco;Chardonnay (100%);Vinícola Salton;Frutas cítricas, lima, abacaxi, pêssego branco;Delicado, boa acidez, final persistente;Queijos de maturação média, pratos com peixes brancos e rosados preparados com carnes brancas de aves, pratos com carne de porco, risotos leves.;Chardonnay;S;91.9;2017;0;'Brasil' 'Branco' 'Seco' 'Chardonnay'
Mise de la Baronnie A.O.C. Saint-Émilion 2017;0.0;R$200,91;França;Tinto;Seco;Cabernet Franc, Merlot;Baron Philippe de Rothschild;Floral, frutas vermelhas, frutas negras, defumado;Médio corpo, taninos macios, boa acidez, final longo;Filé mignon grelhado com batatas rústicas, maminha na brasa com cebola confitada, nhoque ao ragu de carne, espaguete ao sugo, caldo verde, queijos de média cura.;Cabernet Franc;N;200.91;2017;0;'França' 'Tinto' 'Seco' 'Cabernet Franc'
Mise de la Baronnie A.O.C. Médoc 2017;0.0;R$171,90;França;Tinto;Seco;Cabernet Sauvignon, Cabernet Franc, Merlot;Baron Philippe de Rothschild;Frutas vermelhas, especiarias;Médio corpo, taninos macios, boa acidez;Filé mignon à parmegiana, coelho assado ao molho de champignons, stinco suíno ao molho agridoce, picanha recheada, espaguete ao sugo com polpetone, queijos semiduros.;Cabernet Sauvignon;N;171.9;2017;0;'França' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Dádivas Merlot Cabernet Sauvignon 2018;3.5;R$90,91;Brasil;Tinto;Seco;Cabernet Sauvignon, Merlot;Lidio Carraro;Frutas vermelhas, frutas negras, especiarias;Médio corpo, taninos macios, boa acidez, frutado;Churrasco, risoto de filé com champignons, lasanha de calabresa, penne ao molho de funghi, pizza de tomate seco com provolone, queijos semiduros.;Cabernet Sauvignon;N;90.91;2018;0;'Brasil' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Alegria D.O. Navarra Garnacha Rosé 2018;4.5;R$89,90;Espanha;Rosé;Seco;Garnacha Tintorera;Bodegas Vega del Castillo;Frutas silvestres, morango e notas florais;Leve, fresco, acidez agradável;Risoto de funghi, ceviche, espaguete à putanesca, tomate recheado com queijo e ervas, estrogonofe de shimeji, atum grelhado com gergelim.;Garnacha Tintorera;S;89.9;2018;0;'Espanha' 'Rosé' 'Seco' 'Garnacha Tintorera'
Maycas del Limari San Julian Pinot Noir 2018;0.0;R$321,90;Chile;Tinto;Seco;Pinot Noir;Maycas del Limarí;Aromas delicados de cereja e framboesa;Frutado, fresco e elegante;Talharim de pupunha com molho branco, rosbife de alcatra, marinada de legumes e cogumelos, risoto primavera com tiras de mignon, chester ao forno.;Pinot Noir;S;321.9;2018;0;'Chile' 'Tinto' 'Seco' 'Pinot Noir'
Cono Sur Single Vineyard 8 Grapes 2017;4.5;R$185,90;Chile;Tinto;Seco;Carménère (6%), Petit Verdot (6%), Petite Syrah (5%), Mourvèdre (4%), Cabernet Sauvignon (28%), Malbec (19%), Grenache (16%), Carignan (16%);Cono Sur;Frutas vermelhas, ameixas, alcaçuz e um toque de mocka;Encorpado, sedoso, taninos macios e redondos;Risoto de cogumelos, Lombo de cordeiro em redução, picanha invertida, rabada com polenta, stinco de cordeiro em redução do próprio molho, plateado chileno.;Carménère;N;185.9;2017;0;'Chile' 'Tinto' 'Seco' 'Carménère'
La Piu Belle 2014;0.0;R$605,91;Chile;Tinto;Seco;Cabernet Sauvignon, Merlot, Syrah, Carménère;Vik;O seu aroma é intenso, equilibrado e elegante. Começa com delicados morangos, framboesas e berries e continua com flores como lavanda e violeta. Aparecem notas de especiarias com um toque de carvalho, as quais o convertem em um vinho complexo e agradável.;O ataque na boca é extremamente fresco e sedoso, com corpo e estrutura. Os seus taninos são redondos, com um final extenso. É um vinho dinâmico, harmonioso e elegante.;Peito de pato defumado, salmão a grade.;Cabernet Sauvignon;N;605.91;2014;0;'Chile' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Tenuta SantAntonio Campo dei Gigli D.O.C.G. Amarone della Valpolicella 2015;0.0;R$748,90;Itália;Tinto;Meio Seco/Demi-Sec;Rondinella, Oseleta, Croatina, Corvina Veronese, Corvina;Tenuta Sant'Antonio;Frutas negras maduras, mineral, alcaçuz, pimenta preta, tabaco, especiarias, chocolate;Encorpado, boa acidez, taninos aveludados, complexo, intenso, final longo;Para ser apreciado por si só, ou com paleta de cordeiro ao molho de vinho, pernil de javali assado, risoto de funghi com tomate seco, coxa de pato confitada, e queijos duros.;Rondinella;N;748.9;2015;0;'Itália' 'Tinto' 'Meio Seco/Demi-Sec' 'Rondinella'
Château des Places A.O.C. Graves 2016;4.0;R$197,91;França;Tinto;Seco;Merlot (55.00%), Cabernet Sauvignon (45.00%);Vignobles Reynaud;Frutas vermelhas, groselha e um toque amadeirado;Suculento, taninos vivos e final persistente;Risoto de pato, escalope de mignon, ravióli recheado com mussarela de búfala, berinjela à parmigiana, e queijos duros.;Merlot;N;197.91;2016;0;'França' 'Tinto' 'Seco' 'Merlot'
Casa Perini Rosé 2019;4.0;R$69,90;Brasil;Rosé;Seco;Merlot;Casa Perini;Morango, cereja, framboesa, pitanga;Leve, boa acidez, frutado, final agradável;Espetinho de camarão, empada de bacalhau, canapés, saladas em geral, peito de frango grelhado, risoto com tomate seco.;Merlot;S;69.9;2019;0;'Brasil' 'Rosé' 'Seco' 'Merlot'
Champagne La Grande Dame 2008;0.0;R$1.628,91;França;Espumante;Brut;Pinot Noir (53%), Chardonnay (47%);Veuve Clicquot;Frutas brancas, com notas de frutas secas, damasco, amêndoas e toque de fermento;Cremoso, fresco, com boa presença em boca, notas de brioche e tosta, final saboroso e persistente;Lagosta gratinada, ostras frescas, risoto de frutos do mar, fettuccine com camarão ao molho branco, steak tartare, posta de bacalhau ao forno.;Pinot Noir;N;1628.91;2008;0;'França' 'Espumante' 'Brut' 'Pinot Noir'
Espumante Casa Perini Nature;4.0;R$119,90;Brasil;Espumante;Nature;Pinot Noir, Chardonnay;Casa Perini;Possui aromas amanteigados, que lembram nozes e castanhas;O perlage intenso se reflete em um ótimo volume em boca com textura cremosa;Peixes de sabor marcante, carnes vermelhas, carnes de caça, risotos, queijos e embutidos.;Pinot Noir;N;119.9;0;0;'Brasil' 'Espumante' 'Nature' 'Pinot Noir'
Espumante Casa Perini Tradicional;0.0;R$94,90;Brasil;Espumante;Brut;Pinot Noir, Chardonnay;Casa Perini;Possui aromas florais (margaridas) e cítricos, lembrando também tostados e nozes;Complexo no paladar com um bom volume em boca, cremosidade intensa e final prolongado;Aperitivos, saladas, peixes mais temperados, carnes brancas e vermelhas.;Pinot Noir;N;94.9;0;0;'Brasil' 'Espumante' 'Brut' 'Pinot Noir'
Tenuta Tignanello Marchese Antinori Riserva D.O.C.G. Chianti Classico 2015;0.0;R$589,90;Itália;Tinto;Seco;Sangiovese (90.00%), Cabernet Sauvignon (10.00%);Tenuta Tignanello;Rico e intenso, com bastante tipicidade das uvas, bastante frutado e elegante.;elegante. Na boca revela todas as características de um verdadeiro Chianti clássico, equilibrado, com muito boa acidez, estrutura, taninos macios e final longo.;Acompanha muito bem antipasti, massas com molho de tomate e carnes assadas e molhos robustos.;Sangiovese;N;589.9;2015;0;'Itália' 'Tinto' 'Seco' 'Sangiovese'
Lidio Carraro Faces do Brasil Pinot Noir Rosé 2019;4.0;R$74,90;Brasil;Rosé;Seco;Pinot Noir (80%), Touriga Nacional (5%), Merlot (15%);Lidio Carraro;Morango, cereja, framboesa, floral, especiarias, mineral;Leve, acidez agradável, frutado;Espetinho de camarão, saladas, espaguete primavera, comida japonesa, sobrecoxa recheada, salgadinhos fritos.;Pinot Noir;N;74.9;2019;0;'Brasil' 'Rosé' 'Seco' 'Pinot Noir'
Norton Finca La Colonia Cabernet Sauvignon 2017;4.0;R$69,90;Argentina;Tinto;Seco;Cabernet Sauvignon;Bodega Norton;Aromas de frutas negras como ameixa e framboesas.;Em boca é frutado e com notas de especiarias, apresenta bom corpo e final agradável.;Combina com carnes vermelhas, massas e risotos com molho robusto e encorpados.;Cabernet Sauvignon;S;69.9;2017;0;'Argentina' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Norton Finca La Colonia Malbec 2017;3.0;R$69,90;Argentina;Tinto;Seco;Malbec;Bodega Norton;Aromas de frutas vermelhas como cerejas e framboesas.;Em boca é fresco, frutado e com final de boca agradável.;Acompanha bem pratos de carne, queijos, massas. Mesmo sozinho, é um vinho agradável de se degustar.;Malbec;S;69.9;2017;0;'Argentina' 'Tinto' 'Seco' 'Malbec'
Norton Privado Family Blend 2015;0.0;R$251,91;Argentina;Tinto;Seco;Malbec, Cabernet Sauvignon, Merlot;Bodega Norton;Aroma complexo, com notas de especiarias, frutas vermelhas maduras, tabaco e café;Na boca, tem boa entrada, é untuoso e bem concentrado. Com taninos macios porem persistentes.;Indicado para carnes, assados, caças e queijos finos;Malbec;N;251.91;2015;0;'Argentina' 'Tinto' 'Seco' 'Malbec'
Motto Unabashed Zinfandel 2015;3.0;R$129,91;Estados Unidos;Tinto;Seco;Cabernet Sauvignon, Zinfandel;Motto Winery;framboesa. Alémde notas de couro e um leve toque vegetal.;O paladar revela sabores de framboesas com cobertura dechocolate amargo com uma pitada de especiarias doces.;Acompanha muito bem pratos a base de carnes grelhadas, ragu de linguiça, risoto de cogumelos e queijos meia cura.;Cabernet Sauvignon;N;129.91;2015;0;'Estados Unidos' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Antinori Santa Cristina I.G.T. Toscana Rosso 2017;3.5;R$110,91;Itália;Tinto;Seco;Sangiovese, Syrah, Merlot;Antinori;No nariz é intenso, com notas de frutas vermelhas frescas e toque floral.;Na boca apresenta boa estrutura, maciez e frescor, com taninos aveludados.;Acompanha carnes grelhadas, assadas, massas com molho vermelhos ou densos, embutidos, queijos fortes, amadurecidos ou condimentados;Sangiovese;N;110.91;2017;0;'Itália' 'Tinto' 'Seco' 'Sangiovese'
